name,degrees,education,occupations,time_in_space,interests,nationality,age
Ronald Anthony Parise,Bachelor of Science degree; Master's degree; Doctorate in Astronomy,"Bachelor of Science in Physics (Youngstown State University, 1973); Master's in Astronomy (University of Florida, 1977); Doctorate in Astronomy (University of Florida, 1979)",Scientist; Payload Specialist,25d 14h 13m,astronomy; aviation,American,56
Ronald Evans,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Electrical Engineering (University of Kansas, 1956); Master of Science in Aeronautical Engineering (Naval Postgraduate School, 1964)",Electrical Engineer; Aeronautical Engineer; Officer; Aviator in the United States Navy; NASA Astronaut,12d 13h 52m,,American,
Ronald J. Garan Jr.,Bachelor of Science degree; Master's degree; Master of Science degree,"Bachelor of Science in business economics (State University of New York College at Oneonta, 1982); Master of Aeronautical Science (Embry-Riddle Aeronautical University, 1994); Master of Science in aerospace engineering (University of Florida, 1996)","Colonel, USAF; NASA astronaut; Retired NASA astronaut; Founder of the Fragile Oasis project; Vice president of Spaceship Earth Grants; Chief pilot at World View Enterprises",177d 23h 54m,,U.S.,63
Ronald J. Grabe,Bachelor of Science degree,"Bachelor of Science in Engineering Science (United States Air Force Academy, 1966); Aeronautics (Fulbright Scholar) (Technische Hochschule (Darmstadt, West Germany), 1967)","Colonel, USAF; NASA Astronaut",26d 3h 38m,skiing; wind surfing; racquet sports,United States,80
Ronald M. Sega,Bachelor of Science degree; Master of Science degree; Doctorate in electrical engineering,"Bachelor of Science in mathematics and physics (United States Air Force Academy, 1974); Master of Science in physics (Ohio State University, 1975); Doctorate in electrical engineering (University of Colorado at Boulder, 1982)","Professor of systems engineering; Vice President for Energy and the Environment; Vice President and Enterprise Executive for Energy and Environment; Under Secretary of the Air Force; Major General, USAF; NASA astronaut; Instructor Pilot; Technical Director for Lasers and Aerospace Mechanics Directorate; Assistant Secretary of Defense for Research and Engineering",17d 12h 25m,,United States,72
Ronald McNair,Bachelor of Science degree; Doctor of Philosophy (PhD),"Bachelor of Science in Engineering Physics (North Carolina Agricultural and Technical State University, 1971); PhD in Physics (Massachusetts Institute of Technology, 1976)",NASA Astronaut; Physicist; Staff Physicist at Hughes Research Lab,7d 23h 15m,saxophonist; jazz enthusiast,U.S.,35
Roverto Vittori,,,,,,,
Roy D. Bridges Jr.,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Engineering Science (United States Air Force Academy, 1965); Master of Science in Astronautics (Purdue University, 1966)",American pilot; Engineer; Retired United States Air Force officer; Test pilot; Former NASA astronaut; Director of NASA's John F. Kennedy Space Center; Director of NASA's Langley Research Center,7d 22h 45m,,American,82
Rusty Schweickart,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in aeronautical engineering (Massachusetts Institute of Technology, 1956); Master of Science in aeronautics and astronautics (Massachusetts Institute of Technology, 1963)",American aeronautical engineer; NASA astronaut; research scientist; U.S. Air Force fighter pilot; business executive; government executive,10d 1h 0m,golf; bicycling; hiking,American,89
S. David Griggs,Bachelor of Science degree; Master of Science degree,"Bachelor of Science (United States Naval Academy, 1962); Master of Science in Administration (George Washington University, 1970)","United States Navy officer; NASA astronaut; Research pilot; Rear Admiral, USN",6d 23h 55m,flying; auto restoration; running; skiing; diving,United States,49
Salizhan Sharipov,Cartography,"None (Soviet Air Force Pilot School, 1987); Degree in Cartography (Moscow State University, 1994)",Air Force Pilot; Pilot-Instructor; Cosmonaut,201d 14h 50m,football; reading,Uzbek,61
Sally Ride,Bachelor of Science degree; Bachelor of Arts degree; Master of Science degree; Doctor of Philosophy (PhD),"Bachelor of Science in physics (Stanford University, 1973); Bachelor of Arts in English literature (Stanford University, 1973); Master of Science in physics (Stanford University, 1975); Doctor of Philosophy in physics (Stanford University, 1978)",Astronaut; Physicist; Professor; Director of the California Space Institute; President of Sally Ride Science,14d 7h 46m,sports; tennis,American,
Samuel T. Durrance,Bachelor of Science degree; Master of Science degree; Doctor of Philosophy (PhD); Honorary Doctorate,"Bachelor of Science degree in physics (California State University, Los Angeles, 1972); Master of Science degree in physics (California State University, Los Angeles, 1974); Doctor of Philosophy degree in astro-geophysics (University of Colorado at Boulder, 1980); Honorary Doctor of Science (University of Colorado at Boulder, 2000)",Physicist; Professor of physics and space sciences; Executive director of the Florida Space Research Institute,25d 14h 13min,,American,79
Sandra Hall Magnus,Physics; Electrical Engineering; Materials Science and Engineering,"BS (Missouri University of Science and Technology, None); MS (Georgia Institute of Technology, None); PhD (Georgia Institute of Technology, 1996)",Engineer; NASA Astronaut; Flight Engineer; Executive Director of AIAA; Deputy Director for Engineering; Principal at AstroPlanetView; Space Advisory Board Member,157d 8h 42m,,American,60
Satoshi Furukawa,Doctor of Medicine; Doctor of Philosophy (PhD),"Doctor of Medicine (University of Tokyo, 1989); Doctor of Philosophy in Medical Science (University of Tokyo, 2000)",Surgeon; JAXA Astronaut,"366 days, 8 hours and 34 minutes",baseball; bowling; music; traveling,Japan,61
Scott Altman,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in aeronautical and astronautical engineering (University of Illinois, Urbana-Champaign, 1981); Master of Science in aeronautical engineering (Naval Postgraduate School, 1990)","Captain, USN; Naval Aviator; Engineer; Test Pilot; NASA Astronaut",51d 12h 47m,,United States,66
Scott Carpenter,Bachelor of Science degree,"BS (University of Colorado, Boulder, None)","American naval officer; aviator; test pilot; aeronautical engineer; astronaut; aquanaut; Commander, USN",4h 56m,,American,
Scott D. Tingle,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Mechanical Engineering (Southeastern Massachusetts University, 1987); Master of Science in Mechanical Engineering (Purdue University, 1988)","Captain, U.S. Navy; NASA astronaut; Naval Aviator; Test Pilot; Systems Engineer; Program Manager",168 days 5 hours 18 minutes,guitar lessons; writing original music; playing at clubs,U.S.,60
Scott E. Parazynski,Bachelor of Science degree; Doctor of Medicine,"Bachelor of Science in biology (Stanford University, 1983); Doctor of Medicine (Stanford Medical School, 1989)",Physician; NASA Astronaut; CEO of a technology start-up; Professor of Practice at Arizona State University,57d 15h 34m,mountaineering; rock climbing; flying; scuba diving,United States,64
Scott J. Horowitz,Bachelor of Science degree; Doctor of Philosophy (PhD),"B.S. in Engineering (California State University, Northridge, 1978); Ph.D. in Aerospace Engineering (Georgia Institute of Technology, 1982)","American Astronaut; Colonel, USAF; Piloted missions STS-75, STS-82, STS-101; Commanded mission STS-105",47d 10h 41m,human exploration of Mars,United States,68
Scott Joseph Kelly,BEng; Master of Science degree,"Bachelor of Engineering in Electrical Engineering (State University of New York Maritime College, 1987); Master of Science in Aviation Systems (University of Tennessee, Knoxville, None)","Engineer; Retired Astronaut; Naval Aviator; Captain, USN",520d,,American,61
Serena Aun-Chancellor,,,,,,,
Sergei Krikalev,Mechanical Engineer,"Mechanical Engineer (Leningrad Mechanical Institute, 1981)",Mechanical engineer; Former cosmonaut; Deputy chief designer at Energia; Deputy Director General for Human Space Flight at Roscosmos,"803 days, 9 hours, 39 minutes",swimming; skiing; cycling; aerobatic flying; amateur radio operations,Russia,67
Sergey Avdeev,Engineer-Physicist,"Engineer-Physicist (Moscow Engineering Physics Institute, 1979)",Engineer; Cosmonaut,747d 14h 14m,amateur radio,Russia,69
Sergey Prokopyev,,"test cosmonaut (Roscosmos, 2012)",Pilot,"567 days, 15 hours and 12 minutes",,Russian,50
Sergey Revin,Engineer-Physicist; Candidate of Pedagogic Sciences,"Engineer-Physicist (Moscow Institute of Electronic Technology, 1989); Candidate of Pedagogic Sciences (Moscow University for the Humanities, 2013)","Lieutenant Colonel, Russian Air Force",124 days 23 hours 52 minutes,tourism; skiing; water skiing; balloon flights; photo and videotaping,Russia,59
Sergey Ryazansky,Biochemist,"Biochemist (Moscow State University, 1996)",Biochemist; Cosmonaut,304 days 22 hours 21 minutes,,Russia,50
Sergey Ryzhikov,Command Tactical Fighter Aviation,"Degree in Command Tactical Fighter Aviation (Kachinsky Higher Military Aviation School of Pilots, 1996)","Test cosmonaut; Lieutenant colonel, Russian Air Force; Cosmonaut; Pilot","521 days, 18 hours, 33 minutes",,Russian,51
Sergey Treshchov,Engineer-teacher of electrical power disciplines,"Electric welder (Technical School, 1976); Engineer-teacher of electrical power disciplines (Moscow Power Institute, 1982)",Pilot; Cosmonaut; Flight Engineer,184 days 22 hours 15 minutes,soccer; volleyball; ice hockey; hiking; tennis; music; photography; video,Russia,67
Sergey Zalyotin,Pilot-Engineer; Master's degree,"Pilot-Engineer (Borisoglebsk Higher Military Pilot School after V.P. Chkalov, 1983); Master of Ecological Management (International Center of Training Systems, 1994)","Pilot; Cosmonaut; Colonel, Russian Air Force",83d 16h 36m,,Russian,63
Shane Kimbrough,Bachelor of Science degree; Master of Science degree,"B.S. in aerospace engineering (United States Military Academy, 1989); M.S. in operations research (Georgia Institute of Technology, 1998)","Retired United States Army officer; NASA astronaut; Colonel, USA (ret.)",388d 17h 28m,,United States,58
Shannon Lucid,Bachelor's degree; Master's degree; Doctor of Philosophy (PhD),"Bachelor's Degree in Chemistry (University of Oklahoma, 1963); Master's Degree in Biochemistry (University of Oklahoma, 1970); PhD in Biochemistry (University of Oklahoma, 1973)",American Biochemist; Retired NASA Astronaut; Laboratory Technician at Oklahoma Medical Research Foundation; Research Chemist at Kerr-McGee; Research Associate at Oklahoma Medical Research Foundation; NASA Chief Scientist; Capsule Communicator (CAPCOM); Astronaut Support Person (ASP),"223 days, 2 hours and 50 minutes",reading books; exploration; astronomy,American,82
Shannon Walker,Bachelor of Arts degree; Master of Science degree; Doctor of Philosophy (PhD),"Bachelor of Arts in physics (Rice University, 1987); Master of Science in Space Physics (Rice University, 1992); PhD in Space Physics (Rice University, 1993)",Physicist; Former NASA Astronaut; Robotics Flight Controller; Manager for Coordinating On-Orbit Problem Resolution for the ISS,330 days 13 hours 40 minutes,cooking; soccer; running; weight training; flying; camping; travel,American,60
Sheikh Muszaphar Shukor,MBBS; Bachelor of Medicine and Surgery,"MBBS (Manipal Academy of Higher Education, None); Bachelor of Medicine and Surgery (Kasturba Medical College, Manipal University, None)",Orthopedic medical officer; Model,10d 20h 14m,,Malaysia,53
Sherwood C. Spring,Bachelor of Science degree; Master of Science degree,"None (Ponaganset High School, 1963); Bachelor of Science in General Engineering (United States Military Academy, 1967); Master of Science in Aerospace Engineering (University of Arizona, 1974); None (United States Naval Test Pilot School, 1976); None (Defense Systems Management College, 1989)","Colonel, USA; Astronaut; Professor at Defense Acquisition University",6d 21h 4m,,United States,81
Sidney M. Gutierrez,Bachelor of Science degree; Master of Arts degree,"Bachelor of Science in Aeronautical Engineering (United States Air Force Academy, 1973); Master of Arts in Management (Webster University, 1977)","Pilot; Colonel, USAF; NASA Astronaut; Manager, Sandia National Laboratories; Chairman and CEO, Rocket Crafters",20d 8h 3m,camping; woodworking; racquetball,American,74
Sigmund Jähn,Doctorate of Science in remote sensing of the Earth,"Doctorate of Science in remote sensing of the Earth (Zentralinstitut für Physik der Erde, Potsdam, 1983)","Pilot; Cosmonaut; Generalmajor, Air Forces of the National People's Army","7 days, 20 hours, 49 minutes, and 4 seconds",,German,
Soichi Noguchi,Bachelor of Science degree; Master of Science degree; Doctor of Philosophy (PhD),"B.S. in Aeronautical Engineering (University of Tokyo, 1989); M.S. in Aeronautical Engineering (University of Tokyo, 1991); Ph.D. in Advanced Interdisciplinary Studies (University of Tokyo, 2020)",Engineer; Astronaut; Part-time Lecturer at University of Tokyo; Project Professor at Nihon University,"344 days, 9 hours, 33 minutes",jogging; basketball; skiing; camping,Japan,60
Sonny Carter,Bachelor of Arts degree; Doctor of Medicine,"Bachelor of Arts in Chemistry (Emory University, 1969); Doctor of Medicine (Emory University, 1973)",Physician; Professional Soccer Player; Naval Officer; Aviator; NASA Astronaut,5d 0h 6m,,United States,
Soyeon (Lee So-hyun) Yi,,"None (Chung-Ang University, 2017)",Rapper; Singer; Songwriter; Record Producer,,,South Korea,27
Stanley G. Love,Bachelor of Science degree; Master of Science degree; Doctor of Philosophy (PhD),"Bachelor of Science in Physics (Harvey Mudd College, 1987); M.S. in Astronomy (University of Washington, 1989); Ph.D. in Astronomy (University of Washington, 1993)",Scientist; NASA Astronaut; CAPCOM; Management Astronaut; Deputy Chief of the Astronaut Office's Rapid Prototyping Laboratory; Staff Engineer at the Jet Propulsion Laboratory,12d 18h 22m,martial arts; hiking; science fiction; music; anime,American,60
Stephanie Diana Wilson,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in engineering science (Harvard University, 1988); Master of Science in aerospace engineering (University of Texas, Austin, 1992)",American engineer; NASA astronaut; Mission Specialist,42d 23h 46m,skiing; stamp collecting,United States,58
Stephen Gerard Bowen,Bachelor of Science degree; Master of Science degree,"None (Cohasset High School, 1982); B.S. in Electrical Engineering (United States Naval Academy, 1986); M.S. in Ocean Engineering (Massachusetts Institute of Technology, 1993)","United States Navy submariner; NASA astronaut; Captain, USN",226d 8h 43m,,United States,61
Stephen Kern Robinson,Bachelor of Science degree; Master of Science degree; Doctor of Philosophy (PhD),"Bachelor of Science in Mechanical and Aeronautical Engineering (University of California, Davis, 1978); Master of Science in Mechanical Engineering (Stanford University, 1985); PhD in Mechanical Engineering with a minor in Aeronautics and Astronautics (Stanford University, 1990)",Astronaut; Research Scientist; Professor,48d 9h 52m,flying; antique aircraft; swimming; canoeing; hiking; music; art; stereo photography,American,69
Stephen Nathaniel Frick,Bachelor of Science degree; Master of Science degree,"BS (United States Naval Academy, 1986); MS (Naval Postgraduate School, 1994)","Captain, USN; Astronaut; F/A-18 fighter pilot; Space Shuttle pilot",23d 14h 4m,,United States,60
Stephen S. Oswald,Bachelor of Science degree,"Bachelor of Science in aerospace engineering (United States Naval Academy, 1973)","Former pilot; NASA astronaut; Aerospace engineer; Instructor pilot; Rear Admiral, USN",33d 22h 30m,,United States,74
Steven Hawley,Bachelor of Science degree; Master of Science degree; Doctor of Philosophy (PhD),"BS in Physics and Astronomy (University of Kansas, 1973); PhD in Astronomy and Astrophysics (University of California, Santa Cruz, 1977)",Retired Astronomer; NASA Astronaut; Professor Emeritus of Physics and Astronomy,32d 2h 42min,basketball; softball; golf; running; playing bridge; umpiring,U.S.,73
Steven Lee Smith,Bachelor of Science degree; Master of Science degree; Master's degree,"Bachelor of Science in Electrical Engineering (Stanford University, 1981); Master of Science in Electrical Engineering (Stanford University, 1982); Master of Business Administration (Stanford University, 1987)","NASA Astronaut; Technology Executive; Keynote Speaker; Associate Director for ISS, Science Directorate at NASA Ames Research Center",40d 0h 16m,,American,66
Steven R. Nagel,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Aeronautical and Astronautical Engineering (University of Illinois, 1969); Master of Science in Mechanical Engineering (California State University, Fresno, 1978)",American astronaut; Aeronautical and Mechanical Engineer; Test Pilot; United States Air Force Pilot; Instructor at University of Missouri College of Engineering,30d 1h 34m,sport flying; amateur radio operations; music,American,67
Steven Swanson,Engineering Physics; Applied Science in Computer Systems; Doctorate in Computer Science,"BS (University of Colorado, Boulder, 1983); MS (Florida Atlantic University, 1986); PhD (Texas A&M University, 1998)",Engineer; Retired NASA Astronaut; Systems Engineer; Flight Engineer; Distinguished Educator in Residence,"195 days, 20 hours, 45 minutes",Browncoat (fan of Joss Whedon's Serenity and Firefly),American,64
Steven Wayne Lindsey,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Engineering Sciences (United States Air Force Academy, 1982); Master of Science in Aeronautical Engineering (U.S. Air Force Institute of Technology, 1990)",Retired U.S. Air Force officer; NASA astronaut; Chief of the NASA Astronaut Office; Pilot; Commander,62d 22h 33m,,U.S.,65
Stuart Roosa,Bachelor of Science degree,"None (Oklahoma State University, None); None (University of Arizona, None); Bachelor of Science in aeronautical engineering (University of Colorado Boulder, 1960)",Aeronautical engineer; Smokejumper; United States Air Force pilot; Test pilot; NASA astronaut,"9 days, 1 minute",,American,
Sultan bin Salman Al Saud,Bachelor's degree; Master's degree,"Bachelor's degree in mass communications (University of Denver, None); Master's degree in social and political science (Syracuse University, 1999)","Chairman of the Board of Directors of the Saudi Space Commission; Fighter pilot; Colonel, Royal Saudi Air Force; Payload Specialist, STS-51-G; Deputy Director, Saudi media committee for the 1984 Summer Olympics; Acting Director, Department of TV Advertising, Ministry of Information, Saudi Arabia",7d 01h 38m,flying; gliding; skiing; exploring nature,Saudi Arabian,69
Sunita Williams,Bachelor of Science degree; Master of Science degree,"Bachelor of Science (United States Naval Academy, 1987); Master of Science (Florida Institute of Technology, 1995)",Astronaut; Retired U.S. Navy Officer; ISS Commander,"608 days, 19 minutes",,United States,60
Susan Jane Helms,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Aeronautical Engineering (United States Air Force Academy, 1980); Master of Science in Aeronautics and Astronautics (Stanford University, 1985)","Lieutenant General, USAF; NASA Astronaut; Flight Test Engineer; Vice Commander of the 45th Space Wing; Deputy Director of Operations, Air Education and Training Command; Director of Plans and Policy, U.S. Strategic Command; Commander, 14th Air Force (Air Forces Strategic), Air Force Space Command",210d 23h 6m,piano and other musical activities; jogging; traveling; reading; computers; cooking,United States,67
Susan Kilrain,Bachelor's degree; Master of Science degree,"Bachelor's degree in aeronautical engineering (Embry-Riddle Aeronautical University, 1982); Master of Science in aerospace engineering (Georgia Institute of Technology, 1985)",American aerospace engineer; United States Navy officer; NASA astronaut; Motivational speaker,19d 15h 58m,photography; traveling; martial arts; triathlon; playing the piano,United States,63
Svetlana Savitskaya,,"None (Central United Flight Technical School, None); None (Moscow Aviation Institute, 1972); None (Flight Research Institute of the Ministry of Aviation Industry, None); DPhil (Moscow Higher Technical School, 1986)",flight engineer; aviator; flight instructor; politician,19 days 17 hours 6 minutes,,Russia,77
Takao Doi,Doctor of Philosophy (PhD),"Ph.D. in aerospace engineering (University of Tokyo, 1983); PhD in Astronomy (Rice University, 2004)","Engineer; Astronaut; Chief of Space Applications Section, United Nations Office for Outer Space Affairs; Professor at Kyoto University",31d 19h 35min,amateur astronomy,Japanese,71
Takuya Onishi,Bachelor of Engineering in Aeronautical and Space Engineering,"Bachelor of Engineering in Aeronautical and Space Engineering (University of Tokyo, 1998)","Pilot, All Nippon Airways; Astronaut","262 days, 18 hours, 51 minutes",flying; playing the saxophone; movies; hiking,Japanese,49
Talgat Musabayev,Diploma,"None (Riga Civil Aviation Engineers Institute, 1974); Engineering diploma (Higher Military Aviation School in Akhtubinsk, 1983)",Test pilot; Director of Aerospace Agency of Republic of Kazakhstan; Cosmonaut,341d 9h 48m,,Kazakh,74
Tamara E. Jernigan,Bachelor of Science degree; Master of Science degree; Doctor of Philosophy (PhD),"B.S. in physics (Stanford University, 1981); M.S. in engineering science (Stanford University, 1983); M.S. in astronomy (University of California, Berkeley, 1985); Ph.D. in space physics and astronomy (Rice University, 1989)",American astrophysicist; NASA astronaut; Deputy Principal Associate Director at Lawrence Livermore National Laboratory,63d 1h 24m,,American,66
Taylor Wang,Bachelor of Science degree; Master of Science degree; Doctor of Philosophy (PhD),"Bachelor of Science (University of California, Los Angeles, 1967); Master of Science (University of California, Los Angeles, 1968); Ph.D. in low temperature physics (University of California, Los Angeles, 1972)",Scientist; Centennial Professor at Vanderbilt University,7d 00h 08m,,Taiwanese-American,85
Terence T. Henricks,Bachelor of Science degree; Master's degree,"Bachelor of Science in Civil Engineering (United States Air Force Academy, 1974); Master of Public Administration (Golden Gate University, 1982)","Colonel, USAF; NASA Astronaut",42d 18h 38m,,United States,73
Terrence W. Wilcutt,Bachelor of Arts degree,"Bachelor of Arts in mathematics (Western Kentucky University, 1974)","United States Marine Corps officer; NASA astronaut; Colonel, USMC; Director of Safety and Mission Assurance",42d 0h 5m,,United States,75
Terry Jonathan Hart,Bachelor of Science degree; Master of Science degree; Honorary Doctorate,"Bachelor of Science in Mechanical Engineering (Lehigh University, 1968); Master of Science in Mechanical Engineering (Massachusetts Institute of Technology, 1969); Master of Science in Electrical Engineering (Rutgers University, 1978); Honorary Doctorate of Engineering (Lehigh University, 1988)",Mechanical and Electrical Engineer; United States Air Force Lieutenant Colonel; Pilot; NASA Astronaut; Member of the Engineering Faculty at Lehigh University,6d 23h 40m,,American,78
Terry Wayne Virts Jr.,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Mathematics (with a French minor) (United States Air Force Academy, 1989); Master of Science in Aeronautics (Embry–Riddle Aeronautical University, 1997); General Management Program (Harvard Business School, 2011)","NASA astronaut; International Space Station commander; Colonel, United States Air Force; Space Shuttle pilot",213d 10h 48m,,U.S.,57
Thomas Dale Akers,Bachelor of Science degree; Master of Science degree,"BS in Applied Mathematics (Missouri University of Science and Technology, 1973); MS in Applied Mathematics (Missouri University of Science and Technology, 1975)","Colonel, USAF; Astronaut; Instructor of Mathematics",33d 22h 44m,,American,74
Thomas David Jones,Bachelor of Science degree; Doctorate in Planetary Science,"Bachelor of Science in Basic Sciences (United States Air Force Academy, 1977); Doctorate in Planetary Science (University of Arizona, 1988)","Captain, USAF; Astronaut; Planetary Scientist; Space Operations Consultant; Astronaut Speaker; Author",53 days 48 minutes,remote sensing of asteroids; meteorite spectroscopy; applications of space resources,United States,70
Thomas Gautier Pesquet,Master's degree; Airline Transport Pilot License - Instrument Rating,"None (Lycée Pierre Corneille, 1996); Master's degree in space systems and space vehicle mechanics (École nationale supérieure de l'aéronautique et de l'espace, 2001); Exchange student on the Aeronautics and Space Master (École Polytechnique de Montréal, None); Airline Transport Pilot License - Instrument Rating (Air France flight school, 2006)",Astronaut; Engineer; Airline pilot; Actor; Musician; Writer,396 days 11 hours 34 minutes,judo; basketball; jogging; swimming; squash; mountain biking; kite surfing; sailing; skiing; mountaineering; scuba diving; parachuting; travelling; playing the saxophone; reading,France,47
Thomas Henry Marshburn,Bachelor of Science degree; Master of Science degree; M.D. from Wake Forest University,"B.S. degree in Physics (Davidson College, 1982); M.S. degree in Engineering Physics (University of Virginia, 1984); M.D. (Wake Forest University, 1989); M.M.S. degree (University of Texas Medical Branch, 1997)",Physician; NASA Astronaut; Flight Surgeon; Chief Medical Officer,337d 9h 43m,,United States,65
Thomas J. Hennen,,"None (Groveport-Madison High School, 1970); None (Urbana College, None)","Military Intelligence; Chief Warrant Officer 4, USA; NASA payload specialist astronaut",6d 22h 50m,,United States,73
Thomas P. Stafford,Bachelor of Science degree,"Bachelor of Science in Engineering (United States Naval Academy, 1952)","American Air Force officer; Test pilot; NASA astronaut; Chief of the Astronaut Office; Lieutenant General, USAF",21d 3h 42m,hunting; weight lifting; gliding; scuba diving; fishing; swimming,United States,93
Thomas Reiter,Aerospace Engineering; Honorary Doctorate,"None (Goethe-High School, Neu-Isenburg, 1977); Aerospace Engineering (Bundeswehr University Munich, 1982); Honorary Doctorate (Bundeswehr University Munich, 2010)","Test pilot; Brigadier General, Luftwaffe; Astronaut; ESA Interagency Coordinator; Advisor to the Director General at ESA",350d 05h 44min,,German,67
Timothy John Creamer,Bachelor of Science degree; Master of Science degree,"B.S., Chemistry (Loyola College, 1982); M.S., Physics (Massachusetts Institute of Technology, 1992)","NASA Flight Director; Retired Astronaut; Colonel, United States Army",163d 5h 33m,,United States,65
Timothy Kopra,Bachelor of Science degree; Master of Science degree; Master's degree,"Bachelor of Science (United States Military Academy, 1985); Master of Science in Aerospace Engineering (Georgia Institute of Technology, 1995); Master of Strategic Studies (United States Army War College, 2006); Master of Business Administration (University of London, 2013); Master of Business Administration (Columbia University, 2013)","American Engineer; Colonel, United States Army; Retired NASA Astronaut; Vice President of Robotics and Space Operations, MDA Corporation",244d 1h 1m,,United States,62
Timothy Nigel Peake,BSc in Flight Dynamics and Evaluation,"BSc (Hons) in Flight Dynamics and Evaluation (University of Portsmouth, None)",Test pilot; Astronaut; British Army officer; Major,"185 days, 22 hours, 11 minutes",climbing; caving; cross-country running; triathlon,England,53
Toktar Aubakirov,,"None (Armavir Military Aviation Institute of the Anti-Air Defence Pilots, None); None (Fedotov Test Pilot School, None)",Test pilot; Kazakh Air Force officer; Cosmonaut; General director of the National Aerospace Agency of Republic of Kazakhstan; Member of the Kazakhstan parliament; Pensioner; Consultant,7d 22h 12m,,Kazakh,79
Toyohiro Akiyama,Bachelor's degree,"Bachelor's degree (International Christian University, 1966)",Journalist (TBS); Professor at Kyoto University of Art and Design,7d 21h 54min 40sec,organic farming; environmental issues,Japan,83
Tracy Caldwell Dyson,Bachelor of Science degree; Master of Science degree; Doctor of Philosophy (PhD),"BS (California State University, Fullerton, None); MS (University of California, Davis, None); PhD (University of California, Davis, None)",Chemist; NASA Astronaut,372 days 18 hours and 36 minutes,running; weight training; hiking; softball; basketball; auto repair and maintenance,United States,56
Ulf Merbold,Diploma; Doctorate in Natural Sciences,"Diploma in Physics (University of Stuttgart, 1968); Doctorate in Natural Sciences (University of Stuttgart, 1976)",Physicist; Astronaut; Science Coordinator; Astronaut Department Head,49 days,,Germany,84
Ulrich Hans Walter,Diploma; Doctorate in Solid-State Physics,"Diploma in Solid-State Physics (University of Cologne, 1980); Doctorate in Solid-State Physics (University of Cologne, 1985)",Physicist; Engineer; Former DFVLR Astronaut; Payload Specialist,"9 days, 23 hours, and 40 minutes",,German,71
Umberto Guidoni,Doctorate in Astrophysics,"Doctorate in Astrophysics (University of Rome La Sapienza, 1978)",Astrophysicist; Science writer; ESA Astronaut; Member of the European Parliament,27d 15h 12m,popularizing science; organizes events related to space,Italian,71
Valentin Lebedev,,"None (Higher Air Force Navigators School in Orenburg, 1960); None (Moscow Aviation Institute, 1966)",Engineer; Cosmonaut,219 days 5 hours 59 minutes,,Soviet,83
Valentina Tereshkova,Graduated from the Zhukovsky Air Force Engineering Academy; Doctorate in Aeronautical Engineering,"Graduated (Zhukovsky Air Force Engineering Academy, None); Doctorate in Aeronautical Engineering (None, 1977)","Pilot; Cosmonaut; Politician; Major General, Russian Air Force","2 days, 22 hours, and 50 mins",Parachuting; Skydiving,Russia,88
Valeri Polyakov,Doctoral degree,"Doctoral degree (I. M. Sechenov 1st Moscow Medical Institute, None); Astronautics Medicine (Institute of Medical and Biological Problems, Ministry of Public Health, Moscow, None)",Physician; Cosmonaut,"678 days, 16 hours, 33 minutes, 18 seconds",,Russia,
Valeri Tokarev,Master's degree,"None (Stavropol Higher Military Aviation School for Pilots and Navigators, 1973); None (Test Pilot Training Center (TPTC), Akhtubinsk, 1982); None (Yu. A. Gagarin Military Air Academy, Monino, 1993); Master's degree in state administration (National Economy Academy under the Russian Federal Government, 1997)",Pilot; Air Force Colonel; Test Cosmonaut,199d 15h 06m,nature; automobiles; airplanes; sports,Russia,72
Valery Bykovsky,,,Pilot; Cosmonaut; Fighter Pilot; Instructor Pilot; Major General Soviet Air Force,20d 17h 48m,aviation research; experimentation; sports; aesthete; photography; art of painting,Soviet Union Russia,
Valery Korzun,,"None (Kachinsk higher military aviation pilot school, 1974); None (Gagarin Military Aviation Academy, 1987)",Pilot; Colonel; Cosmonaut,381d 15h 41min,tennis; badminton; theater,Russia,72
Valery Kubasov,Master of Science degree,"Aerospace Engineer (Moscow Aviation Institute, 1958)",Engineer; Flight Engineer; Deputy Director of RKK Energia,"18 days, 17 hours, 59 minutes",,Russia,79
Valery Rozhdestvensky,,"Engineering (Higher Military Engineering School of Soviet Navy, None)",Engineer; Soviet Navy,2d 00h 06m,,Soviet,72
Valery Ryumin,Cold Working of Metal; Spacecraft Control Systems,"Cold Working of Metal (Kaliningrad Mechanical Engineering Technical College, 1958); Spacecraft Control Systems (Moscow Forestry Engineering Institute, 1966)",Flight engineer; Tank commander; Ground Electrical Test Engineer; Deputy Lead Designer for Orbital Stations; Department Head; Deputy General Designer for Testing; Flight director; Director of the Russian portion of the Shuttle-Mir and NASA-Mir program,371d 17h 24m,tennis; angling; hunting; walking through forests; travel,"Soviet , Russian",82
