name,degrees,education,occupations,time_in_space,interests,nationality,age
Shannon Walker,"['Bachelor of Arts in physics (Rice University, 1987)', 'Master of Science in Space Physics (Rice University, 1992)', 'PhD in Space Physics (Rice University, 1993)']","[{'institution': 'Rice University', 'year': 1987, 'qualification': 'Bachelor of Arts in physics'}, {'institution': 'Rice University', 'year': 1992, 'qualification': 'Master of Science in Space Physics'}, {'institution': 'Rice University', 'year': 1993, 'qualification': 'PhD in Space Physics'}]","['Physicist', 'Former NASA Astronaut', 'Robotics Flight Controller', 'Manager for Coordinating On-Orbit Problem Resolution for the ISS']",330 days 13 hours 40 minutes,"['cooking', 'soccer', 'running', 'weight training', 'flying', 'camping', 'travel']",American,60.0
Sheikh Muszaphar Shukor,"['MBBS (Manipal Academy of Higher Education)', 'Bachelor of Medicine and Surgery (Kasturba Medical College, Manipal University)']","[{'institution': 'Manipal Academy of Higher Education', 'year': None, 'qualification': 'MBBS'}, {'institution': 'Kasturba Medical College, Manipal University', 'year': None, 'qualification': 'Bachelor of Medicine and Surgery'}]","['Orthopedic medical officer', 'Model']",10d 20h 14m,[],Malaysia,53.0
Sherwood C. Spring,"['Bachelor of Science degree in General Engineering (United States Military Academy, 1967)', 'Master of Science degree in Aerospace Engineering (University of Arizona, 1974)']","[{'institution': 'Ponaganset High School', 'year': 1963, 'qualification': None}, {'institution': 'United States Military Academy', 'year': 1967, 'qualification': 'Bachelor of Science in General Engineering'}, {'institution': 'University of Arizona', 'year': 1974, 'qualification': 'Master of Science in Aerospace Engineering'}, {'institution': 'United States Naval Test Pilot School', 'year': 1976, 'qualification': None}, {'institution': 'Defense Systems Management College', 'year': 1989, 'qualification': None}]","['Colonel, USA', 'Astronaut', 'Professor at Defense Acquisition University']",6d 21h 4m,[],United States,81.0
Sidney M. Gutierrez,"['Bachelor of Science in Aeronautical Engineering (United States Air Force Academy, 1973)', 'Master of Arts in Management (Webster University, 1977)']","[{'institution': 'United States Air Force Academy', 'year': 1973, 'qualification': 'Bachelor of Science in Aeronautical Engineering'}, {'institution': 'Webster University', 'year': 1977, 'qualification': 'Master of Arts in Management'}]","['Pilot', 'Colonel, USAF', 'NASA Astronaut', 'Manager, Sandia National Laboratories', 'Chairman and CEO, Rocket Crafters']",20d 8h 3m,"['camping', 'woodworking', 'racquetball']",American,74.0
Sigmund Jähn,"['Doctorate of Science in remote sensing of the Earth (Zentralinstitut für Physik der Erde, Potsdam, 1983)']","[{'institution': 'Zentralinstitut für Physik der Erde, Potsdam', 'year': 1983, 'qualification': 'Doctorate of Science in remote sensing of the Earth'}]","['Pilot', 'Cosmonaut', ""Generalmajor, Air Forces of the National People's Army""]","7 days, 20 hours, 49 minutes, and 4 seconds",[],German,
Soichi Noguchi,"['B.S. in Aeronautical Engineering (University of Tokyo, 1989)', 'M.S. in Aeronautical Engineering (University of Tokyo, 1991)', 'Ph.D. in Advanced Interdisciplinary Studies (University of Tokyo, 2020)']","[{'institution': 'University of Tokyo', 'year': 1989, 'qualification': 'B.S. in Aeronautical Engineering'}, {'institution': 'University of Tokyo', 'year': 1991, 'qualification': 'M.S. in Aeronautical Engineering'}, {'institution': 'University of Tokyo', 'year': 2020, 'qualification': 'Ph.D. in Advanced Interdisciplinary Studies'}]","['Engineer', 'Astronaut', 'Part-time Lecturer at University of Tokyo', 'Project Professor at Nihon University']","344 days, 9 hours, 33 minutes","['jogging', 'basketball', 'skiing', 'camping']",Japan,60.0
Sonny Carter,"['Bachelor of Arts in Chemistry (Emory University, 1969)', 'Doctor of Medicine (Emory University, 1973)']","[{'institution': 'Emory University', 'year': 1969, 'qualification': 'Bachelor of Arts in Chemistry'}, {'institution': 'Emory University', 'year': 1973, 'qualification': 'Doctor of Medicine'}]","['Physician', 'Professional Soccer Player', 'Naval Officer', 'Aviator', 'NASA Astronaut']",5d 0h 6m,[],United States,
Soyeon (Lee So-hyun) Yi,[],"[{'institution': 'Chung-Ang University', 'year': 2017, 'qualification': None}]","['Rapper', 'Singer', 'Songwriter', 'Record Producer']",,[],South Korea,27.0
Stanley G. Love,"['Bachelor of Science in Physics (Harvey Mudd College, 1987)', 'M.S. in Astronomy (University of Washington, 1989)', 'Ph.D. in Astronomy (University of Washington, 1993)']","[{'institution': 'Harvey Mudd College', 'year': 1987, 'qualification': 'Bachelor of Science in Physics'}, {'institution': 'University of Washington', 'year': 1989, 'qualification': 'M.S. in Astronomy'}, {'institution': 'University of Washington', 'year': 1993, 'qualification': 'Ph.D. in Astronomy'}]","['Scientist', 'NASA Astronaut', 'CAPCOM', 'Management Astronaut', ""Deputy Chief of the Astronaut Office's Rapid Prototyping Laboratory"", 'Staff Engineer at the Jet Propulsion Laboratory']",12d 18h 22m,"['martial arts', 'hiking', 'science fiction', 'music', 'anime']",American,60.0
Stephanie Diana Wilson,"['Bachelor of Science in engineering science (Harvard University, 1988)', 'Master of Science in aerospace engineering (University of Texas, 1992)']","[{'institution': 'Harvard University', 'year': 1988, 'qualification': 'Bachelor of Science in engineering science'}, {'institution': 'University of Texas, Austin', 'year': 1992, 'qualification': 'Master of Science in aerospace engineering'}]","['American engineer', 'NASA astronaut', 'Mission Specialist']",42d 23h 46m,"['skiing', 'stamp collecting']",United States,58.0
Stephen Gerard Bowen,"['B.S. in Electrical Engineering (United States Naval Academy, 1986)', 'M.S. in Ocean Engineering (Massachusetts Institute of Technology, 1993)']","[{'institution': 'Cohasset High School', 'year': 1982, 'qualification': None}, {'institution': 'United States Naval Academy', 'year': 1986, 'qualification': 'B.S. in Electrical Engineering'}, {'institution': 'Massachusetts Institute of Technology', 'year': 1993, 'qualification': 'M.S. in Ocean Engineering'}]","['United States Navy submariner', 'NASA astronaut', 'Captain, USN']",226d 8h 43m,[],United States,61.0
Stephen Kern Robinson,"['Bachelor of Science in Mechanical and Aeronautical Engineering (University of California, Davis, 1978)', 'Master of Science in Mechanical Engineering (Stanford University, 1985)', 'PhD in Mechanical Engineering with a minor in Aeronautics and Astronautics (Stanford University, 1990)']","[{'institution': 'University of California, Davis', 'year': 1978, 'qualification': 'Bachelor of Science in Mechanical and Aeronautical Engineering'}, {'institution': 'Stanford University', 'year': 1985, 'qualification': 'Master of Science in Mechanical Engineering'}, {'institution': 'Stanford University', 'year': 1990, 'qualification': 'PhD in Mechanical Engineering with a minor in Aeronautics and Astronautics'}]","['Astronaut', 'Research Scientist', 'Professor']",48d 9h 52m,"['flying', 'antique aircraft', 'swimming', 'canoeing', 'hiking', 'music', 'art', 'stereo photography']",American,69.0
Stephen Nathaniel Frick,"['BS (United States Naval Academy, 1986)', 'MS (Naval Postgraduate School, 1994)']","[{'institution': 'United States Naval Academy', 'year': 1986, 'qualification': 'BS'}, {'institution': 'Naval Postgraduate School', 'year': 1994, 'qualification': 'MS'}]","['Captain, USN', 'Astronaut', 'F/A-18 fighter pilot', 'Space Shuttle pilot']",23d 14h 4m,[],United States,60.0
Stephen S. Oswald,"['Bachelor of Science in aerospace engineering (United States Naval Academy, 1973)']","[{'institution': 'United States Naval Academy', 'year': 1973, 'qualification': 'Bachelor of Science in aerospace engineering'}]","['Former pilot', 'NASA astronaut', 'Aerospace engineer', 'Instructor pilot', 'Rear Admiral, USN']",33d 22h 30m,[],United States,74.0
Steven Hawley,"['BS in Physics and Astronomy (University of Kansas, 1973)', 'MS in Astronomy and Astrophysics (University of California, Santa Cruz, 1977)', 'PhD in Astronomy and Astrophysics (University of California, Santa Cruz, 1977)']","[{'institution': 'University of Kansas', 'year': 1973, 'qualification': 'BS in Physics and Astronomy'}, {'institution': 'University of California, Santa Cruz', 'year': 1977, 'qualification': 'PhD in Astronomy and Astrophysics'}]","['Retired Astronomer', 'NASA Astronaut', 'Professor Emeritus of Physics and Astronomy']",32d 2h 42min,"['basketball', 'softball', 'golf', 'running', 'playing bridge', 'umpiring']",U.S.,73.0
Steven Lee Smith,"['Bachelor of Science in Electrical Engineering (Stanford University, 1981)', 'Master of Science in Electrical Engineering (Stanford University, 1982)', 'Master of Business Administration (Stanford University, 1987)']","[{'institution': 'Stanford University', 'year': 1981, 'qualification': 'Bachelor of Science in Electrical Engineering'}, {'institution': 'Stanford University', 'year': 1982, 'qualification': 'Master of Science in Electrical Engineering'}, {'institution': 'Stanford University', 'year': 1987, 'qualification': 'Master of Business Administration'}]","['NASA Astronaut', 'Technology Executive', 'Keynote Speaker', 'Associate Director for ISS, Science Directorate at NASA Ames Research Center']",40d 0h 16m,[],American,66.0
Steven R. Nagel,"['Bachelor of Science degree in Aeronautical and Astronautical Engineering (University of Illinois, 1969)', 'Master of Science degree in Mechanical Engineering (California State University, Fresno, 1978)']","[{'institution': 'University of Illinois', 'year': 1969, 'qualification': 'Bachelor of Science in Aeronautical and Astronautical Engineering'}, {'institution': 'California State University, Fresno', 'year': 1978, 'qualification': 'Master of Science in Mechanical Engineering'}]","['American astronaut', 'Aeronautical and Mechanical Engineer', 'Test Pilot', 'United States Air Force Pilot', 'Instructor at University of Missouri College of Engineering']",30d 1h 34m,"['sport flying', 'amateur radio operations', 'music']",American,67.0
Steven Swanson,"['Engineering Physics (University of Colorado, Boulder, 1983)', 'Applied Science in Computer Systems (Florida Atlantic University, 1986)', 'Doctorate in Computer Science (Texas A&M University, 1998)']","[{'institution': 'University of Colorado, Boulder', 'year': 1983, 'qualification': 'BS'}, {'institution': 'Florida Atlantic University', 'year': 1986, 'qualification': 'MS'}, {'institution': 'Texas A&M University', 'year': 1998, 'qualification': 'PhD'}]","['Engineer', 'Retired NASA Astronaut', 'Systems Engineer', 'Flight Engineer', 'Distinguished Educator in Residence']","195 days, 20 hours, 45 minutes","[""Browncoat (fan of Joss Whedon's Serenity and Firefly)""]",American,64.0
Steven Wayne Lindsey,"['Bachelor of Science in Engineering Sciences (United States Air Force Academy, 1982)', 'Master of Science in Aeronautical Engineering (U.S. Air Force Institute of Technology, 1990)']","[{'institution': 'United States Air Force Academy', 'year': 1982, 'qualification': 'Bachelor of Science in Engineering Sciences'}, {'institution': 'U.S. Air Force Institute of Technology', 'year': 1990, 'qualification': 'Master of Science in Aeronautical Engineering'}]","['Retired U.S. Air Force officer', 'NASA astronaut', 'Chief of the NASA Astronaut Office', 'Pilot', 'Commander']",62d 22h 33m,[],U.S.,65.0
Stuart Roosa,"['Bachelor of Science in aeronautical engineering with honors (University of Colorado Boulder, 1960)']","[{'institution': 'Oklahoma State University', 'year': None, 'qualification': None}, {'institution': 'University of Arizona', 'year': None, 'qualification': None}, {'institution': 'University of Colorado Boulder', 'year': 1960, 'qualification': 'Bachelor of Science in aeronautical engineering'}]","['Aeronautical engineer', 'Smokejumper', 'United States Air Force pilot', 'Test pilot', 'NASA astronaut']","9 days, 1 minute",[],American,
Sultan bin Salman Al Saud,"[""Bachelor's degree in mass communications (University of Denver)"", ""Master's degree in social and political science (Syracuse University, 1999)""]","[{'institution': 'University of Denver', 'year': None, 'qualification': ""Bachelor's degree in mass communications""}, {'institution': 'Syracuse University', 'year': 1999, 'qualification': ""Master's degree in social and political science""}]","['Chairman of the Board of Directors of the Saudi Space Commission', 'Fighter pilot', 'Colonel, Royal Saudi Air Force', 'Payload Specialist, STS-51-G', 'Deputy Director, Saudi media committee for the 1984 Summer Olympics', 'Acting Director, Department of TV Advertising, Ministry of Information, Saudi Arabia']",7d 01h 38m,"['flying', 'gliding', 'skiing', 'exploring nature']",Saudi Arabian,69.0
Sunita Williams,"['Bachelor of Science (United States Naval Academy, 1987)', 'Master of Science (Florida Institute of Technology, 1995)']","[{'institution': 'United States Naval Academy', 'year': 1987, 'qualification': 'Bachelor of Science'}, {'institution': 'Florida Institute of Technology', 'year': 1995, 'qualification': 'Master of Science'}]","['Astronaut', 'Retired U.S. Navy Officer', 'ISS Commander']","608 days, 19 minutes",[],United States,60.0
Susan Jane Helms,"['Bachelor of Science in Aeronautical Engineering (United States Air Force Academy, 1980)', 'Master of Science in Aeronautics and Astronautics (Stanford University, 1985)']","[{'institution': 'United States Air Force Academy', 'year': 1980, 'qualification': 'Bachelor of Science in Aeronautical Engineering'}, {'institution': 'Stanford University', 'year': 1985, 'qualification': 'Master of Science in Aeronautics and Astronautics'}]","['Lieutenant General, USAF', 'NASA Astronaut', 'Flight Test Engineer', 'Vice Commander of the 45th Space Wing', 'Deputy Director of Operations, Air Education and Training Command', 'Director of Plans and Policy, U.S. Strategic Command', 'Commander, 14th Air Force (Air Forces Strategic), Air Force Space Command']",210d 23h 6m,"['piano and other musical activities', 'jogging', 'traveling', 'reading', 'computers', 'cooking']",United States,67.0
Susan Kilrain,"[""Bachelor's degree in aeronautical engineering (Embry-Riddle Aeronautical University, 1982)"", 'Master of Science in aerospace engineering (Georgia Institute of Technology, 1985)']","[{'institution': 'Embry-Riddle Aeronautical University', 'year': 1982, 'qualification': ""Bachelor's degree in aeronautical engineering""}, {'institution': 'Georgia Institute of Technology', 'year': 1985, 'qualification': 'Master of Science in aerospace engineering'}]","['American aerospace engineer', 'United States Navy officer', 'NASA astronaut', 'Motivational speaker']",19d 15h 58m,"['photography', 'traveling', 'martial arts', 'triathlon', 'playing the piano']",United States,63.0
Svetlana Savitskaya,[],"[{'institution': 'Central United Flight Technical School', 'year': None, 'qualification': None}, {'institution': 'Moscow Aviation Institute', 'year': 1972, 'qualification': None}, {'institution': 'Flight Research Institute of the Ministry of Aviation Industry', 'year': None, 'qualification': None}, {'institution': 'Moscow Higher Technical School', 'year': 1986, 'qualification': 'DPhil'}]","['flight engineer', 'aviator', 'flight instructor', 'politician']",19 days 17 hours 6 minutes,[],Russia,77.0
Takao Doi,"['Ph.D. in aerospace engineering (University of Tokyo, 1983)', 'PhD in Astronomy (Rice University, 2004)']","[{'institution': 'University of Tokyo', 'year': 1983, 'qualification': 'Ph.D. in aerospace engineering'}, {'institution': 'Rice University', 'year': 2004, 'qualification': 'PhD in Astronomy'}]","['Engineer', 'Astronaut', 'Chief of Space Applications Section, United Nations Office for Outer Space Affairs', 'Professor at Kyoto University']",31d 19h 35min,['amateur astronomy'],Japanese,71.0
Takuya Onishi,"['Bachelor of Engineering in Aeronautical and Space Engineering (University of Tokyo, 1998)']","[{'institution': 'University of Tokyo', 'year': 1998, 'qualification': 'Bachelor of Engineering in Aeronautical and Space Engineering'}]","['Pilot, All Nippon Airways', 'Astronaut']","262 days, 18 hours, 51 minutes","['flying', 'playing the saxophone', 'movies', 'hiking']",Japanese,49.0
Talgat Musabayev,"['Engineering diploma (Higher Military Aviation School, 1983)']","[{'institution': 'Riga Civil Aviation Engineers Institute', 'year': 1974, 'qualification': None}, {'institution': 'Higher Military Aviation School in Akhtubinsk', 'year': 1983, 'qualification': 'Engineering diploma'}]","['Test pilot', 'Director of Aerospace Agency of Republic of Kazakhstan', 'Cosmonaut']",341d 9h 48m,[],Kazakh,74.0
Tamara E. Jernigan,"['B.S. in physics (Stanford University, 1981)', 'M.S. in engineering science (Stanford University, 1983)', 'M.S. in astronomy (University of California, Berkeley, 1985)', 'Ph.D. in space physics and astronomy (Rice University, 1989)']","[{'institution': 'Stanford University', 'year': 1981, 'qualification': 'B.S. in physics'}, {'institution': 'Stanford University', 'year': 1983, 'qualification': 'M.S. in engineering science'}, {'institution': 'University of California, Berkeley', 'year': 1985, 'qualification': 'M.S. in astronomy'}, {'institution': 'Rice University', 'year': 1989, 'qualification': 'Ph.D. in space physics and astronomy'}]","['American astrophysicist', 'NASA astronaut', 'Deputy Principal Associate Director at Lawrence Livermore National Laboratory']",63d 1h 24m,[],American,66.0
Taylor Wang,"['Bachelor of Science (University of California, Los Angeles, 1967)', 'Master of Science (University of California, Los Angeles, 1968)', 'Ph.D. in low temperature physics (University of California, Los Angeles, 1972)']","[{'institution': 'University of California, Los Angeles', 'year': 1967, 'qualification': 'Bachelor of Science'}, {'institution': 'University of California, Los Angeles', 'year': 1968, 'qualification': 'Master of Science'}, {'institution': 'University of California, Los Angeles', 'year': 1972, 'qualification': 'Ph.D. in low temperature physics'}]","['Scientist', 'Centennial Professor at Vanderbilt University']",7d 00h 08m,[],Taiwanese-American,85.0
Terence T. Henricks,"['Bachelor of Science in Civil Engineering (United States Air Force Academy, 1974)', 'Master of Public Administration (Golden Gate University, 1982)']","[{'institution': 'United States Air Force Academy', 'year': 1974, 'qualification': 'Bachelor of Science in Civil Engineering'}, {'institution': 'Golden Gate University', 'year': 1982, 'qualification': 'Master of Public Administration'}]","['Colonel, USAF', 'NASA Astronaut']",42d 18h 38m,[],United States,73.0
Terrence W. Wilcutt,"['Bachelor of Arts degree in mathematics (Western Kentucky University, 1974)']","[{'institution': 'Western Kentucky University', 'year': 1974, 'qualification': 'Bachelor of Arts in mathematics'}]","['United States Marine Corps officer', 'NASA astronaut', 'Colonel, USMC', 'Director of Safety and Mission Assurance']",42d 0h 5m,[],United States,75.0
Terry Jonathan Hart,"['Bachelor of Science in Mechanical Engineering (Lehigh University, 1968)', 'Master of Science in Mechanical Engineering (Massachusetts Institute of Technology, 1969)', 'Master of Science in Electrical Engineering (Rutgers University, 1978)', 'Honorary Doctorate of Engineering (Lehigh University, 1988)']","[{'institution': 'Lehigh University', 'year': 1968, 'qualification': 'Bachelor of Science in Mechanical Engineering'}, {'institution': 'Massachusetts Institute of Technology', 'year': 1969, 'qualification': 'Master of Science in Mechanical Engineering'}, {'institution': 'Rutgers University', 'year': 1978, 'qualification': 'Master of Science in Electrical Engineering'}, {'institution': 'Lehigh University', 'year': 1988, 'qualification': 'Honorary Doctorate of Engineering'}]","['Mechanical and Electrical Engineer', 'United States Air Force Lieutenant Colonel', 'Pilot', 'NASA Astronaut', 'Member of the Engineering Faculty at Lehigh University']",6d 23h 40m,[],American,78.0
Terry Wayne Virts Jr.,"['Bachelor of Science in Mathematics (with a French minor) from the United States Air Force Academy, 1989', 'Master of Science in Aeronautics from Embry–Riddle Aeronautical University, 1997']","[{'institution': 'United States Air Force Academy', 'year': 1989, 'qualification': 'Bachelor of Science in Mathematics (with a French minor)'}, {'institution': 'Embry–Riddle Aeronautical University', 'year': 1997, 'qualification': 'Master of Science in Aeronautics'}, {'institution': 'Harvard Business School', 'year': 2011, 'qualification': 'General Management Program'}]","['NASA astronaut', 'International Space Station commander', 'Colonel, United States Air Force', 'Space Shuttle pilot']",213d 10h 48m,[],U.S.,57.0
Thomas Dale Akers,"['BS in Applied Mathematics (Missouri University of Science and Technology, 1973)', 'MS in Applied Mathematics (Missouri University of Science and Technology, 1975)']","[{'institution': 'Missouri University of Science and Technology', 'year': 1973, 'qualification': 'BS in Applied Mathematics'}, {'institution': 'Missouri University of Science and Technology', 'year': 1975, 'qualification': 'MS in Applied Mathematics'}]","['Colonel, USAF', 'Astronaut', 'Instructor of Mathematics']",33d 22h 44m,[],American,74.0
Thomas David Jones,"['Bachelor of Science in Basic Sciences (United States Air Force Academy, 1977)', 'Doctorate in Planetary Science (University of Arizona, 1988)']","[{'institution': 'United States Air Force Academy', 'year': 1977, 'qualification': 'Bachelor of Science in Basic Sciences'}, {'institution': 'University of Arizona', 'year': 1988, 'qualification': 'Doctorate in Planetary Science'}]","['Captain, USAF', 'Astronaut', 'Planetary Scientist', 'Space Operations Consultant', 'Astronaut Speaker', 'Author']",53 days 48 minutes,"['remote sensing of asteroids', 'meteorite spectroscopy', 'applications of space resources']",United States,70.0
Thomas Gautier Pesquet,"[""Master's degree in space systems and space vehicle mechanics (École nationale supérieure de l'aéronautique et de l'espace, 2001)"", 'Airline Transport Pilot License - Instrument Rating (Air France flight school, 2006)']","[{'institution': 'Lycée Pierre Corneille', 'year': 1996, 'qualification': None}, {'institution': ""École nationale supérieure de l'aéronautique et de l'espace"", 'year': 2001, 'qualification': ""Master's degree in space systems and space vehicle mechanics""}, {'institution': 'École Polytechnique de Montréal', 'year': None, 'qualification': 'Exchange student on the Aeronautics and Space Master'}, {'institution': 'Air France flight school', 'year': 2006, 'qualification': 'Airline Transport Pilot License - Instrument Rating'}]","['Astronaut', 'Engineer', 'Airline pilot', 'Actor', 'Musician', 'Writer']",396 days 11 hours 34 minutes,"['judo', 'basketball', 'jogging', 'swimming', 'squash', 'mountain biking', 'kite surfing', 'sailing', 'skiing', 'mountaineering', 'scuba diving', 'parachuting', 'travelling', 'playing the saxophone', 'reading']",France,47.0
Thomas Henry Marshburn,"['B.S. degree in Physics (Davidson College, 1982)', 'M.S. degree in Engineering Physics (University of Virginia, 1984)', 'M.D. from Wake Forest University (1989)', 'M.M.S. degree (University of Texas Medical Branch, 1997)']","[{'institution': 'Davidson College', 'year': 1982, 'qualification': 'B.S. degree in Physics'}, {'institution': 'University of Virginia', 'year': 1984, 'qualification': 'M.S. degree in Engineering Physics'}, {'institution': 'Wake Forest University', 'year': 1989, 'qualification': 'M.D.'}, {'institution': 'University of Texas Medical Branch', 'year': 1997, 'qualification': 'M.M.S. degree'}]","['Physician', 'NASA Astronaut', 'Flight Surgeon', 'Chief Medical Officer']",337d 9h 43m,[],United States,65.0
Thomas J. Hennen,[],"[{'institution': 'Groveport-Madison High School', 'year': 1970, 'qualification': None}, {'institution': 'Urbana College', 'year': None, 'qualification': None}]","['Military Intelligence', 'Chief Warrant Officer 4, USA', 'NASA payload specialist astronaut']",6d 22h 50m,[],United States,73.0
Thomas P. Stafford,"['Bachelor of Science in Engineering (United States Naval Academy, 1952)']","[{'institution': 'United States Naval Academy', 'year': 1952, 'qualification': 'Bachelor of Science in Engineering'}]","['American Air Force officer', 'Test pilot', 'NASA astronaut', 'Chief of the Astronaut Office', 'Lieutenant General, USAF']",21d 3h 42m,"['hunting', 'weight lifting', 'gliding', 'scuba diving', 'fishing', 'swimming']",United States,93.0
Thomas Reiter,"['Aerospace Engineering (Bundeswehr University Munich, 1982)', 'Honorary Doctorate (Bundeswehr University Munich, 2010)']","[{'institution': 'Goethe-High School, Neu-Isenburg', 'year': 1977, 'qualification': None}, {'institution': 'Bundeswehr University Munich', 'year': 1982, 'qualification': 'Aerospace Engineering'}, {'institution': 'Bundeswehr University Munich', 'year': 2010, 'qualification': 'Honorary Doctorate'}]","['Test pilot', 'Brigadier General, Luftwaffe', 'Astronaut', 'ESA Interagency Coordinator', 'Advisor to the Director General at ESA']",350d 05h 44min,[],German,67.0
Timothy John Creamer,"['B.S., Chemistry (Loyola College, 1982)', 'M.S., Physics (Massachusetts Institute of Technology, 1992)']","[{'institution': 'Loyola College', 'year': 1982, 'qualification': 'B.S., Chemistry'}, {'institution': 'Massachusetts Institute of Technology', 'year': 1992, 'qualification': 'M.S., Physics'}]","['NASA Flight Director', 'Retired Astronaut', 'Colonel, United States Army']",163d 5h 33m,[],United States,65.0
Timothy Kopra,"['Bachelor of Science (United States Military Academy, 1985)', 'Master of Science in Aerospace Engineering (Georgia Institute of Technology, 1995)', 'Master of Strategic Studies (United States Army War College, 2006)', 'Master of Business Administration (University of London, 2013)', 'Master of Business Administration (Columbia University, 2013)']","[{'institution': 'United States Military Academy', 'year': 1985, 'qualification': 'Bachelor of Science'}, {'institution': 'Georgia Institute of Technology', 'year': 1995, 'qualification': 'Master of Science in Aerospace Engineering'}, {'institution': 'United States Army War College', 'year': 2006, 'qualification': 'Master of Strategic Studies'}, {'institution': 'University of London', 'year': 2013, 'qualification': 'Master of Business Administration'}, {'institution': 'Columbia University', 'year': 2013, 'qualification': 'Master of Business Administration'}]","['American Engineer', 'Colonel, United States Army', 'Retired NASA Astronaut', 'Vice President of Robotics and Space Operations, MDA Corporation']",244d 1h 1m,[],United States,62.0
Timothy Nigel Peake,['BSc (Hons) in Flight Dynamics and Evaluation (University of Portsmouth)'],"[{'institution': 'University of Portsmouth', 'year': None, 'qualification': 'BSc (Hons) in Flight Dynamics and Evaluation'}]","['Test pilot', 'Astronaut', 'British Army officer', 'Major']","185 days, 22 hours, 11 minutes","['climbing', 'caving', 'cross-country running', 'triathlon']",England,53.0
Toktar Aubakirov,[],"[{'institution': 'Armavir Military Aviation Institute of the Anti-Air Defence Pilots', 'year': None, 'qualification': None}, {'institution': 'Fedotov Test Pilot School', 'year': None, 'qualification': None}]","['Test pilot', 'Kazakh Air Force officer', 'Cosmonaut', 'General director of the National Aerospace Agency of Republic of Kazakhstan', 'Member of the Kazakhstan parliament', 'Pensioner', 'Consultant']",7d 22h 12m,[],Kazakh,79.0
Toyohiro Akiyama,"[""Bachelor's degree, International Christian University, 1966""]","[{'institution': 'International Christian University', 'year': 1966, 'qualification': ""Bachelor's degree""}]","['Journalist (TBS)', 'Professor at Kyoto University of Art and Design']",7d 21h 54min 40sec,"['organic farming', 'environmental issues']",Japan,83.0
Tracy Caldwell Dyson,"['BS (California State University, Fullerton)', 'MS (University of California, Davis)', 'PhD (University of California, Davis)']","[{'institution': 'California State University, Fullerton', 'year': None, 'qualification': 'BS'}, {'institution': 'University of California, Davis', 'year': None, 'qualification': 'MS'}, {'institution': 'University of California, Davis', 'year': None, 'qualification': 'PhD'}]","['Chemist', 'NASA Astronaut']",372 days 18 hours and 36 minutes,"['running', 'weight training', 'hiking', 'softball', 'basketball', 'auto repair and maintenance']",United States,56.0
Ulf Merbold,"['Diploma in Physics (University of Stuttgart, 1968)', 'Doctorate in Natural Sciences (University of Stuttgart, 1976)']","[{'institution': 'University of Stuttgart', 'year': 1968, 'qualification': 'Diploma in Physics'}, {'institution': 'University of Stuttgart', 'year': 1976, 'qualification': 'Doctorate in Natural Sciences'}]","['Physicist', 'Astronaut', 'Science Coordinator', 'Astronaut Department Head']",49 days,[],Germany,84.0
Ulrich Hans Walter,"['Diploma in Solid-State Physics (University of Cologne, 1980)', 'Doctorate in Solid-State Physics (University of Cologne, 1985)']","[{'institution': 'University of Cologne', 'year': 1980, 'qualification': 'Diploma in Solid-State Physics'}, {'institution': 'University of Cologne', 'year': 1985, 'qualification': 'Doctorate in Solid-State Physics'}]","['Physicist', 'Engineer', 'Former DFVLR Astronaut', 'Payload Specialist']","9 days, 23 hours, and 40 minutes",[],German,71.0
Umberto Guidoni,"['Doctorate in Astrophysics (University of Rome La Sapienza, 1978)']","[{'institution': 'University of Rome La Sapienza', 'year': 1978, 'qualification': 'Doctorate in Astrophysics'}]","['Astrophysicist', 'Science writer', 'ESA Astronaut', 'Member of the European Parliament']",27d 15h 12m,"['popularizing science', 'organizes events related to space']",Italian,71.0
Valentin Lebedev,[],"[{'institution': 'Higher Air Force Navigators School in Orenburg', 'year': 1960, 'qualification': None}, {'institution': 'Moscow Aviation Institute', 'year': 1966, 'qualification': None}]","['Engineer', 'Cosmonaut']",219 days 5 hours 59 minutes,[],Soviet,83.0
Valentina Tereshkova,"['Graduated from the Zhukovsky Air Force Engineering Academy', 'Doctorate in Aeronautical Engineering (1977)']","[{'institution': 'Zhukovsky Air Force Engineering Academy', 'year': None, 'qualification': 'Graduated'}, {'institution': None, 'year': 1977, 'qualification': 'Doctorate in Aeronautical Engineering'}]","['Pilot', 'Cosmonaut', 'Politician', 'Major General, Russian Air Force']","2 days, 22 hours, and 50 mins","['Parachuting', 'Skydiving']",Russia,88.0
Valeri Polyakov,['Doctoral degree (I. M. Sechenov 1st Moscow Medical Institute)'],"[{'institution': 'I. M. Sechenov 1st Moscow Medical Institute', 'year': None, 'qualification': 'Doctoral degree'}, {'institution': 'Institute of Medical and Biological Problems, Ministry of Public Health, Moscow', 'year': None, 'qualification': 'Astronautics Medicine'}]","['Physician', 'Cosmonaut']","678 days, 16 hours, 33 minutes, 18 seconds",[],Russia,
