Profile.Astronaut Numbers.Overall,Profile.Astronaut Numbers.Nationwide,Profile.Name,Profile.Gender,Profile.Birth Year,Profile.Nationality,Profile.Military,Profile.Selection.Group,Profile.Selection.Year,Profile.Lifetime Statistics.Mission count,Mission.Role,Mission.Year,Mission.Name,Mission.Vechicles.Ascent,Mission.Vechicles.Orbit,Mission.Vechicles.Decent,Mission.Durations.Mission duration,Profile.Lifetime Statistics.Mission duration,Mission.Durations.EVA duration,Profile.Lifetime Statistics.EVA duration,cleaned_name,international_country,international_gender,international_flights,international_total_flights,international_flight_time,wiki_degrees,wiki_education,wiki_occupations,wiki_time_in_space,wiki_interests,wiki_nationality,wiki_age
415,263,"Frick, Stephen N.",male,1964,U.S.,True,NASA- 16,1996,2,commander,2008,STS-122,STS-122,STS-122,STS-122,306.0,565.0,0.0,0.0,Stephen N. Frick,United States,Man,"STS-110 (2002), STS-122 (2008)",2,023:14:04,Master'S Degree In; Master'S Degree Inaeronautical Engineeringfrom Thenaval; Master'S Degree In Aeronautical Engineering From The Nav,"[2]Stationed aboard the carrierUSSSaratoga, he flew combat missions during theGulf Warand then earned a master's degree inaeronautical engineeringfrom theNaval Postgraduate Schoolin 1994; Stationed aboard the carrier USS Saratoga , he flew combat missions during the Gulf War and then earned a master's degree in aeronautical engineering from the Naval Postgraduate School in 1994",Flight Engineer; Fighter Pilot; Test Pilot; General; Captain,None,,American,1964
416,264,"Walheim, Rex J.",male,1962,U.S.,True,1996 NASA group,1996,3,MSP,2002,STS-110,STS-110,STS-110,STS-110,259.0,872.51,34.6,56.73,Rex J. Walheim,United States,Man,"STS-110 (2002), STS-122 (2008), STS-135 (2011)",3,036:08:32,Bachelor Of Science; Master Scuba Diver; Bachelor Of Science Degree In Mechanical Engineering From; Master Of Science Degree In Industrial Engineering From; Masterdiving Accident,"1
               

                Education
               









                1; He then received a Master of Science degree in industrial engineering from the University of Houston in 1989; He was selected for USAF Test Pilot School in 1991, and attended the course at Edwards AFB in California in 1992; Navy master diver
 - U; He then received aMaster of Sciencedegree inindustrial engineeringfrom theUniversity of Houstonin 1989",Flight Engineer; Commander; Lieutenant; Test Pilot; Colonel,566 hours in space,"snow skiing, hiking, softball and football; snow skiing, hiking, softball and football; snow skiing, hiking, softball and football",American,1962
416,264,"Walheim, Rex J.",male,1962,U.S.,True,1996 NASA group,1996,3,MSP,2008,STS-122,STS-122,STS-122,STS-122,306.0,872.51,22.13,56.73,Rex J. Walheim,United States,Man,"STS-110 (2002), STS-122 (2008), STS-135 (2011)",3,036:08:32,Bachelor Of Science; Master Scuba Diver; Bachelor Of Science Degree In Mechanical Engineering From; Master Of Science Degree In Industrial Engineering From; Masterdiving Accident,"1
               

                Education
               









                1; He then received a Master of Science degree in industrial engineering from the University of Houston in 1989; He was selected for USAF Test Pilot School in 1991, and attended the course at Edwards AFB in California in 1992; Navy master diver
 - U; He then received aMaster of Sciencedegree inindustrial engineeringfrom theUniversity of Houstonin 1989",Flight Engineer; Commander; Lieutenant; Test Pilot; Colonel,566 hours in space,"snow skiing, hiking, softball and football; snow skiing, hiking, softball and football; snow skiing, hiking, softball and football",American,1962
416,264,"Walheim, Rex J.",male,1962,U.S.,True,1996 NASA group,1996,3,MSP,2011,STS-135,STS-135,STS-135,STS-135,306.5,872.51,0.0,56.73,Rex J. Walheim,United States,Man,"STS-110 (2002), STS-122 (2008), STS-135 (2011)",3,036:08:32,Bachelor Of Science; Master Scuba Diver; Bachelor Of Science Degree In Mechanical Engineering From; Master Of Science Degree In Industrial Engineering From; Masterdiving Accident,"1
               

                Education
               









                1; He then received a Master of Science degree in industrial engineering from the University of Houston in 1989; He was selected for USAF Test Pilot School in 1991, and attended the course at Edwards AFB in California in 1992; Navy master diver
 - U; He then received aMaster of Sciencedegree inindustrial engineeringfrom theUniversity of Houstonin 1989",Flight Engineer; Commander; Lieutenant; Test Pilot; Colonel,566 hours in space,"snow skiing, hiking, softball and football; snow skiing, hiking, softball and football; snow skiing, hiking, softball and football",American,1962
417,265,"Morin, Lee M.",male,1952,U.S.,True,NASA- 16,1996,1,MSP,2002,STS-110,STS-110,STS-110,STS-110,259.0,259.0,14.12,14.12,Lee M. Morin,United States,Man,STS-110 (2002),1,010:19:42,"Phd; Master In Science Degree In Physics From The University; Ph.D) (Captain, U; Master Of Public Health; Master Of Public Health Degree From The University Of Al","He is the most formally educated astronaut with six academic degrees along with astronaut Story Musgrave; - Experience
  - After graduating from the University of New Hampshire in 1974, Morin worked at the Massachusetts Institute of Technology in the laboratory now known as the Media Lab; Kennedy School of GovernmentatHarvard Universityand theFord Foundation
 - Received the 1996 Sustaining Membership Lecture Award for the Association of Military Surgeons of the United States; Kennedy School of Government at Harvard University and the Ford Foundation
  - Received the 1996 Sustaining Membership Lecture Award for the Association of Military Surgeons of the United States; He is the most formally educated astronaut with six academic degrees along with astronautStory Musgrave",Surgeon; General; Captain; Astronaut; Physician,259 hours in space,math and jogging; math and jogging; math and jogging,American,1952
418,4,"Vittori, Roverto",male,1964,Italy,True,1998 ESA Group,1998,3,flight engineer,2002,Soyuz TMA-34/TM-33,Soyuz TMA-34,Soyuz TMA-34,Soyuz TMA-33,237.0,851.65,0.0,0.0,Roverto Vittori,Italy,Man,"Soyuz TM-34 (2002), Soyuz TMA-6 (2005), STS-134 (2011)",3,035:12:25,Master Of Theknights Hospitallerfrom 1374 To His Death; Mastery Of The Dramatic Monologue Made Him One Of The Fo; Master Of The Knights Templar From 1191 To 1192 And Lord; Master Of The Knights Templar; Mastery Of The,"Oxford University Press; [10]
 - Robert de Sorbon(1201–1274), French theologian and founder ofCollege of Sorbonne
 - SaintRobert de Turlande(d; - Robert de Sorbon (1201–1274), French theologian and founder of College of Sorbonne
  - Saint Robert de Turlande (d; Barrett , American painter, illustrator, and professor of illustration at Brigham Young University
  - Robert ""Rob"" Bell Jr; Barrett, American painter, illustrator, and professor of illustration atBrigham Young University
 - Robert ""Rob"" Bell Jr",Naval Aviator; Commander; Test Pilot; General; Professor,None,,French,1955
418,4,"Vittori, Roverto",male,1964,Italy,True,1998 ESA Group,1998,3,flight engineer,2005,Soyuz TMA-6/TMA-5,Soyuz TMA-6,Soyuz TMA-6,Soyuz TMA-5,237.0,851.65,0.0,0.0,Roverto Vittori,Italy,Man,"Soyuz TM-34 (2002), Soyuz TMA-6 (2005), STS-134 (2011)",3,035:12:25,Master Of Theknights Hospitallerfrom 1374 To His Death; Mastery Of The Dramatic Monologue Made Him One Of The Fo; Master Of The Knights Templar From 1191 To 1192 And Lord; Master Of The Knights Templar; Mastery Of The,"Oxford University Press; [10]
 - Robert de Sorbon(1201–1274), French theologian and founder ofCollege of Sorbonne
 - SaintRobert de Turlande(d; - Robert de Sorbon (1201–1274), French theologian and founder of College of Sorbonne
  - Saint Robert de Turlande (d; Barrett , American painter, illustrator, and professor of illustration at Brigham Young University
  - Robert ""Rob"" Bell Jr; Barrett, American painter, illustrator, and professor of illustration atBrigham Young University
 - Robert ""Rob"" Bell Jr",Naval Aviator; Commander; Test Pilot; General; Professor,None,,French,1955
418,4,"Vittori, Roverto",male,1964,Italy,True,1998 ESA Group,1998,3,MSP,2011,STS-134,STS-134,STS-134,STS-134,377.65,851.65,0.0,0.0,Roverto Vittori,Italy,Man,"Soyuz TM-34 (2002), Soyuz TMA-6 (2005), STS-134 (2011)",3,035:12:25,Master Of Theknights Hospitallerfrom 1374 To His Death; Mastery Of The Dramatic Monologue Made Him One Of The Fo; Master Of The Knights Templar From 1191 To 1192 And Lord; Master Of The Knights Templar; Mastery Of The,"Oxford University Press; [10]
 - Robert de Sorbon(1201–1274), French theologian and founder ofCollege of Sorbonne
 - SaintRobert de Turlande(d; - Robert de Sorbon (1201–1274), French theologian and founder of College of Sorbonne
  - Saint Robert de Turlande (d; Barrett , American painter, illustrator, and professor of illustration at Brigham Young University
  - Robert ""Rob"" Bell Jr; Barrett, American painter, illustrator, and professor of illustration atBrigham Young University
 - Robert ""Rob"" Bell Jr",Naval Aviator; Commander; Test Pilot; General; Professor,None,,French,1955
419,1,"Shuttleworth, M. Richard",male,1973,Republic of South Africa,True,Space Tourist 2,2001,1,Other (Space tourist),2002,Soyuz TM-34 / Soyuz TM-33,Soyuz TM-34,Soyuz TM-34,Soyuz TM-33,237.0,237.0,0.0,0.0,M. Richard Shuttleworth,South Africa,Man,Soyuz TM-34 (2002),1,009:21:25,Bachelor Of Business Science Degree In Finance And Informa; Bachelor Of Business Science,"Conferment of Honorary Degrees and Presentation of Graduates; - Shuttleworth was born in Welkom , Free State , South Africa, to a surgeon and a nursery-school teacher; [23]
In September 2010, he received an honorary degree from theOpen Universityfor this work; son of a surgeon and a kindergarten teacher
 - ^Western Province Preparatory School(18 February 2011); The
                 
                  Open University",General; Astronaut; Surgeon,None,"ing facts""; ing facts""; ing facts""",British,1973
420,266,"Lockhart, Paul S.",male,1956,U.S.,True,NASA- 16,1996,2,pilot,2002,STS-111,STS-111,STS-111,STS-111,332.0,663.38,0.0,0.0,Paul S. Lockhart,United States,Man,"STS-111 (2002), STS-113 (2002)",2,028:15:24,Master Of Science; Bachelor Of Arts; Bachelor Of Arts Degree In Mathematics From Texas Tech Uni; Master Of Science Degree In Aerospace Engineering From U,"Has also completed aerospace-related courses from Syracuse University and the University of Florida; After his service with NASA, Lockhart was assigned to and graduated in 2004 from theRoyal College of Defence StudiesinLondon, United Kingdom; Has also completed aerospace-related courses fromSyracuse Universityand theUniversity of Florida; Has also completed aerospace-related courses from
           
            Syracuse University
           
           and the
           
            University of Florida; He is also a distinguished graduate of both
           
            ROTC
           
           and the Air Force
           
            Squadron Officer School",Aerospace Engineer; Mathematician; Test Pilot; Colonel; General,None,,American,1956
420,266,"Lockhart, Paul S.",male,1956,U.S.,True,NASA- 17,1996,2,pilot,2002,STS-113,STS-113,STS-113,STS-113,330.0,663.38,0.0,0.0,Paul S. Lockhart,United States,Man,"STS-111 (2002), STS-113 (2002)",2,028:15:24,Master Of Science; Bachelor Of Arts; Bachelor Of Arts Degree In Mathematics From Texas Tech Uni; Master Of Science Degree In Aerospace Engineering From U,"Has also completed aerospace-related courses from Syracuse University and the University of Florida; After his service with NASA, Lockhart was assigned to and graduated in 2004 from theRoyal College of Defence StudiesinLondon, United Kingdom; Has also completed aerospace-related courses fromSyracuse Universityand theUniversity of Florida; Has also completed aerospace-related courses from
           
            Syracuse University
           
           and the
           
            University of Florida; He is also a distinguished graduate of both
           
            ROTC
           
           and the Air Force
           
            Squadron Officer School",Aerospace Engineer; Mathematician; Test Pilot; Colonel; General,None,,American,1956
421,9,"Perrin, Philippe",male,1963,France,True,CNES-3/EAC,1990,1,MSP,2002,STS-111,STS-111,STS-111,STS-111,332.58,332.58,19.52,19.52,Philippe Perrin,France,Man,STS-111 (2002),1,013:20:35,,"[1]
Upon graduating fromEPNER, the French Test Pilot School, he worked on a variety of test programs while assigned to the Bretigny Test Center; He entered the École polytechnique in 1982 and graduated in 1985; - Upon graduating from EPNER , the French Test Pilot School, he worked on a variety of test programs while assigned to the Bretigny Test Center; He entered the
           
            École polytechnique
           
           in 1982 and graduated in 1985; He entered theÉcole polytechniquein 1982 and graduated in 1985",Test Pilot; Colonel; General; Astronaut; Mission Specialist,332 hours in space,,French,1963
422,267,"Whitson, Peggy A.",female,1960,U.S.,True,1996 NASA group,1996,3,MSP,2002,5,STS-111,ISS,STS-113,4438.0,15982.0,4.38,60.31,Peggy A. Whitson,United States,Woman,"STS-111 (2002), Soyuz TMA-11 (2007), Soyuz MS-03 (2016)",3,665:22:27,Phd; Doctorate Degree In Biochemistry From Rice University In 19; Phd ); Master Scuba Diver; Bachelor Of Science Degree Inbiologyandchemistryfromiowa W,"- ^""Whitson, John (1557–1629)"",Oxford Dictionary of National Biography, Oxford University Press, February 6, 2018,doi:10; Navy master diver
 - U; 29322
 - ^Rice University Seventy-third Commencement Program(PDF), May 10, 1986, retrievedMay 14,2020
 - ^Whitson, Peggy Annette (1986); [19]Whitson graduated fromMount Ayr Community High Schoolin 1978 and received a Bachelor of Science degree inbiologyandchemistryfromIowa Wesleyan Collegein 1981; The lactose repressor-operator DNA interaction: chemical and physical studies of the complex (Modification, Equilibrium, Protein, Stopped-Flow, Kinetics)(PhD thesis)",Professor; Commander; Scientist; Researcher; Cosmonaut,695 days in space,"diver training
                                





                               hazmat diving; diving
                        









                           recreational dive sites; dive sites
                          



                           list of wreck diving sites",American,1960
422,267,"Whitson, Peggy A.",female,1960,U.S.,True,1996 NASA group,1996,3,flight engineer,2008,16,Soyuz TMA-11,ISS,Soyuz TMA-11,4603.0,15982.0,35.35,60.31,Peggy A. Whitson,United States,Woman,"STS-111 (2002), Soyuz TMA-11 (2007), Soyuz MS-03 (2016)",3,665:22:27,Phd; Doctorate Degree In Biochemistry From Rice University In 19; Phd ); Master Scuba Diver; Bachelor Of Science Degree Inbiologyandchemistryfromiowa W,"- ^""Whitson, John (1557–1629)"",Oxford Dictionary of National Biography, Oxford University Press, February 6, 2018,doi:10; Navy master diver
 - U; 29322
 - ^Rice University Seventy-third Commencement Program(PDF), May 10, 1986, retrievedMay 14,2020
 - ^Whitson, Peggy Annette (1986); [19]Whitson graduated fromMount Ayr Community High Schoolin 1978 and received a Bachelor of Science degree inbiologyandchemistryfromIowa Wesleyan Collegein 1981; The lactose repressor-operator DNA interaction: chemical and physical studies of the complex (Modification, Equilibrium, Protein, Stopped-Flow, Kinetics)(PhD thesis)",Professor; Commander; Scientist; Researcher; Cosmonaut,695 days in space,"diver training
                                





                               hazmat diving; diving
                        









                           recreational dive sites; dive sites
                          



                           list of wreck diving sites",American,1960
422,267,"Whitson, Peggy A.",female,1960,U.S.,True,1996 NASA group,1996,3,flight engineer,2016,50,Soyuz MS-03,ISS,Soyuz MS-04,6941.0,15982.0,20.58,60.31,Peggy A. Whitson,United States,Woman,"STS-111 (2002), Soyuz TMA-11 (2007), Soyuz MS-03 (2016)",3,665:22:27,Phd; Doctorate Degree In Biochemistry From Rice University In 19; Phd ); Master Scuba Diver; Bachelor Of Science Degree Inbiologyandchemistryfromiowa W,"- ^""Whitson, John (1557–1629)"",Oxford Dictionary of National Biography, Oxford University Press, February 6, 2018,doi:10; Navy master diver
 - U; 29322
 - ^Rice University Seventy-third Commencement Program(PDF), May 10, 1986, retrievedMay 14,2020
 - ^Whitson, Peggy Annette (1986); [19]Whitson graduated fromMount Ayr Community High Schoolin 1978 and received a Bachelor of Science degree inbiologyandchemistryfromIowa Wesleyan Collegein 1981; The lactose repressor-operator DNA interaction: chemical and physical studies of the complex (Modification, Equilibrium, Protein, Stopped-Flow, Kinetics)(PhD thesis)",Professor; Commander; Scientist; Researcher; Cosmonaut,695 days in space,"diver training
                                





                               hazmat diving; diving
                        









                           recreational dive sites; dive sites
                          



                           list of wreck diving sites",American,1960
423,97,"Treshchov, Sergei",male,1958,U.S.S.R/Russia,True,NPOE-10,1992,1,flight engineer,2002,5,STS111,ISS,STS113,4438.0,4438.25,5.35,5.35,Sergei Treshchov,Russia,Man,STS-111 (2002),1,184:22:15,,"[1]

Education
In 1976 Treshchov graduated from technical school as an electric welder; - In 1976 Treshchov graduated from technical school as an electric welder; In 1982 he graduated from the Moscow Power Institute specializing in ""engineer-teacher of electrical power disciplines""; - Education
  - In 1976 Treshchov graduated from technical school as an electric welder",Cosmonaut; Flight Engineer; General,184 days in space,"include soccer, volleyball, ice hockey, hiking, tennis, music, photography, and video; include soccer, volleyball, ice hockey, hiking, tennis, music, photography, and video; include soccer, volleyball, ice hockey, hiking, tennis, music, photography, and video",Russian,1958
424,268,"Magnus, Sandra H.",female,1964,U.S.,True,NASA- 16,1996,3,MSP,2002,STS-112,STS-112,STS-112,STS-112,260.0,3776.0,0.0,0.0,Sandra H. Magnus,United States,Woman,"STS-112 (2002), STS-126 (2008), STS-135 (2011)",3,157:08:44,Phd; Phd ); Master Scuba Diver; Masterdiving Accident; Master Instructor,"- After NASA
  - In October 2012, Magnus left NASA Astronaut corps to become the executive director of the American Institute of Aeronautics and Astronautics (AIAA); - In October 2012, Magnus left NASA Astronaut corps to become the executive director of the American Institute of Aeronautics and Astronautics (AIAA); Biography

Early life and education
Magnus was born and raised inBelleville, Illinois; After NASA
In October 2012, Magnus left NASA Astronaut corps to become the executive director of theAmerican Institute of Aeronautics and Astronautics(AIAA); 1
               

                Early life and education
               









                1",Flight Engineer; Commander; Scientist; Cosmonaut; General,10 days 19 hours 58 minutes,"dive planner
                          



                           saturation diving system; diver training
                            





                           hazmat diving; diving
                    









                       recreational dive sites",American,1964
424,268,"Magnus, Sandra H.",female,1964,U.S.,True,NASA- 16,1996,3,MSP,2008,18,STS-126,ISS,STS-119,3210.0,3776.0,0.0,0.0,Sandra H. Magnus,United States,Woman,"STS-112 (2002), STS-126 (2008), STS-135 (2011)",3,157:08:44,Phd; Phd ); Master Scuba Diver; Masterdiving Accident; Master Instructor,"- After NASA
  - In October 2012, Magnus left NASA Astronaut corps to become the executive director of the American Institute of Aeronautics and Astronautics (AIAA); - In October 2012, Magnus left NASA Astronaut corps to become the executive director of the American Institute of Aeronautics and Astronautics (AIAA); Biography

Early life and education
Magnus was born and raised inBelleville, Illinois; After NASA
In October 2012, Magnus left NASA Astronaut corps to become the executive director of theAmerican Institute of Aeronautics and Astronautics(AIAA); 1
               

                Early life and education
               









                1",Flight Engineer; Commander; Scientist; Cosmonaut; General,10 days 19 hours 58 minutes,"dive planner
                          



                           saturation diving system; diver training
                            





                           hazmat diving; diving
                    









                       recreational dive sites",American,1964
424,268,"Magnus, Sandra H.",female,1964,U.S.,True,NASA- 16,1996,3,MSP,2011,STS-135,STS-135,STS-135,STS-135,306.0,3776.0,0.0,0.0,Sandra H. Magnus,United States,Woman,"STS-112 (2002), STS-126 (2008), STS-135 (2011)",3,157:08:44,Phd; Phd ); Master Scuba Diver; Masterdiving Accident; Master Instructor,"- After NASA
  - In October 2012, Magnus left NASA Astronaut corps to become the executive director of the American Institute of Aeronautics and Astronautics (AIAA); - In October 2012, Magnus left NASA Astronaut corps to become the executive director of the American Institute of Aeronautics and Astronautics (AIAA); Biography

Early life and education
Magnus was born and raised inBelleville, Illinois; After NASA
In October 2012, Magnus left NASA Astronaut corps to become the executive director of theAmerican Institute of Aeronautics and Astronautics(AIAA); 1
               

                Early life and education
               









                1",Flight Engineer; Commander; Scientist; Cosmonaut; General,10 days 19 hours 58 minutes,"dive planner
                          



                           saturation diving system; diver training
                            





                           hazmat diving; diving
                    









                       recreational dive sites",American,1964
425,269,"Sellers, Piers J.",male,1955,U.K./U.S.,True,NASA-16,1996,3,MSP,2002,STS-112,STS-112,STS-112,STS-112,259.0,839.0,19.68,41.17,Piers J. Sellers,United States,Man,"STS-112 (2002), STS-121 (2006), STS-132 (2010)",3,035:09:04,Bachelor'S Degree Inecological Sciencefrom Theuniversity O; Phd; Bachelor'S Degree In Ecological Science From The Universit; Phd Research'; Phd ),"Sellers attendedCranbrook School,Cranbrook, Kent, United Kingdom, until 1973, and achieved a bachelor's degree inecological sciencefrom theUniversity of Edinburghin 1976; University of Edinburgh; [1]
Sellers brought a velvet patch of theUniversity of Edinburghcrestinto space on this flight, which was sewn to the graduating bonnet used during the university'sgraduationceremonies; In 1981 he gained a doctorate in biometeorology from the University of Leeds; In 1981 he gained a doctorate inbiometeorologyfrom theUniversity of Leeds",General; Scientist; Astronaut,559 hours in space,,British,1955
425,269,"Sellers, Piers J.",male,1955,U.K./U.S.,True,NASA-16,1996,3,MSP,2006,STS-121,STS-121,STS-121,STS-121,306.0,839.0,21.48,41.17,Piers J. Sellers,United States,Man,"STS-112 (2002), STS-121 (2006), STS-132 (2010)",3,035:09:04,Bachelor'S Degree Inecological Sciencefrom Theuniversity O; Phd; Bachelor'S Degree In Ecological Science From The Universit; Phd Research'; Phd ),"Sellers attendedCranbrook School,Cranbrook, Kent, United Kingdom, until 1973, and achieved a bachelor's degree inecological sciencefrom theUniversity of Edinburghin 1976; University of Edinburgh; [1]
Sellers brought a velvet patch of theUniversity of Edinburghcrestinto space on this flight, which was sewn to the graduating bonnet used during the university'sgraduationceremonies; In 1981 he gained a doctorate in biometeorology from the University of Leeds; In 1981 he gained a doctorate inbiometeorologyfrom theUniversity of Leeds",General; Scientist; Astronaut,559 hours in space,,British,1955
425,269,"Sellers, Piers J.",male,1955,U.K./U.S.,True,NASA-16,1996,3,MSP,2010,STS-132,STS-132,STS-132,STS-132,282.5,839.0,0.0,41.17,Piers J. Sellers,United States,Man,"STS-112 (2002), STS-121 (2006), STS-132 (2010)",3,035:09:04,Bachelor'S Degree Inecological Sciencefrom Theuniversity O; Phd; Bachelor'S Degree In Ecological Science From The Universit; Phd Research'; Phd ),"Sellers attendedCranbrook School,Cranbrook, Kent, United Kingdom, until 1973, and achieved a bachelor's degree inecological sciencefrom theUniversity of Edinburghin 1976; University of Edinburgh; [1]
Sellers brought a velvet patch of theUniversity of Edinburghcrestinto space on this flight, which was sewn to the graduating bonnet used during the university'sgraduationceremonies; In 1981 he gained a doctorate in biometeorology from the University of Leeds; In 1981 he gained a doctorate inbiometeorologyfrom theUniversity of Leeds",General; Scientist; Astronaut,559 hours in space,,British,1955
426,98,"Yurchikhin, Fyodor",male,1959,U.S.S.R/Russia,True,RKKE-14,1997,5,MSP,2002,STS112,STS112,STS112,STS112,259.0,16147.0,0.0,59.43,Fyodor Yurchikhin,Russia,Man,"STS-112 (2002), Soyuz TMA-10 (2007), Soyuz TMA-19 (2010), Soyuz TMA-09M (2013), Soyuz MS-04 (2017)",5,672:20:40,Ph.D,"In 2001, he graduated from the Russian Presidential Academy of National Economy and Public Administration (RANEPA) with a Ph; In 2001, he graduated from theRussian Presidential Academy of National Economy and Public Administration(RANEPA) with a Ph; Ordzhonikidze Moscow Aviation Institute, Yurchikhin worked at theRussian Space Corporation Energiafrom September 1983 until August 1997; Циолковского, медаль НАСА ""За космический полет"" (2003)
           

            Honorary member of the Russian Academy of Cosmonautics named after K; Ordzhonikidze Moscow Aviation Institute, Yurchikhin worked at the
           
            Russian Space Corporation Energia
           
           from September 1983 until August 1997",Flight Engineer; Mechanical Engineer; Commander; Cosmonaut; General,17 hours in space,"include collecting stamps and space logos, sports, history of cosmonautics, and promotion of space; include collecting stamps and space logos, sports, history of cosmonautics, and promotion of space; include collecting stamps and space logos, sports, history of cosmonautics, and promotion of space",Russian,1959
426,98,"Yurchikhin, Fyodor",male,1959,U.S.S.R/Russia,True,RKKE-14,1997,5,flight engineer,2007,15,Soyuz TMA10,ISS,Soyuz TMA10,4721.0,16147.0,18.73,59.43,Fyodor Yurchikhin,Russia,Man,"STS-112 (2002), Soyuz TMA-10 (2007), Soyuz TMA-19 (2010), Soyuz TMA-09M (2013), Soyuz MS-04 (2017)",5,672:20:40,Ph.D,"In 2001, he graduated from the Russian Presidential Academy of National Economy and Public Administration (RANEPA) with a Ph; In 2001, he graduated from theRussian Presidential Academy of National Economy and Public Administration(RANEPA) with a Ph; Ordzhonikidze Moscow Aviation Institute, Yurchikhin worked at theRussian Space Corporation Energiafrom September 1983 until August 1997; Циолковского, медаль НАСА ""За космический полет"" (2003)
           

            Honorary member of the Russian Academy of Cosmonautics named after K; Ordzhonikidze Moscow Aviation Institute, Yurchikhin worked at the
           
            Russian Space Corporation Energia
           
           from September 1983 until August 1997",Flight Engineer; Mechanical Engineer; Commander; Cosmonaut; General,17 hours in space,"include collecting stamps and space logos, sports, history of cosmonautics, and promotion of space; include collecting stamps and space logos, sports, history of cosmonautics, and promotion of space; include collecting stamps and space logos, sports, history of cosmonautics, and promotion of space",Russian,1959
426,98,"Yurchikhin, Fyodor",male,1959,U.S.S.R/Russia,True,RKKE-14,1997,5,commander,2010,24,Soyuz TMA19,ISS,Soyuz TMA19,3919.0,16147.0,13.17,59.43,Fyodor Yurchikhin,Russia,Man,"STS-112 (2002), Soyuz TMA-10 (2007), Soyuz TMA-19 (2010), Soyuz TMA-09M (2013), Soyuz MS-04 (2017)",5,672:20:40,Ph.D,"In 2001, he graduated from the Russian Presidential Academy of National Economy and Public Administration (RANEPA) with a Ph; In 2001, he graduated from theRussian Presidential Academy of National Economy and Public Administration(RANEPA) with a Ph; Ordzhonikidze Moscow Aviation Institute, Yurchikhin worked at theRussian Space Corporation Energiafrom September 1983 until August 1997; Циолковского, медаль НАСА ""За космический полет"" (2003)
           

            Honorary member of the Russian Academy of Cosmonautics named after K; Ordzhonikidze Moscow Aviation Institute, Yurchikhin worked at the
           
            Russian Space Corporation Energia
           
           from September 1983 until August 1997",Flight Engineer; Mechanical Engineer; Commander; Cosmonaut; General,17 hours in space,"include collecting stamps and space logos, sports, history of cosmonautics, and promotion of space; include collecting stamps and space logos, sports, history of cosmonautics, and promotion of space; include collecting stamps and space logos, sports, history of cosmonautics, and promotion of space",Russian,1959
426,98,"Yurchikhin, Fyodor",male,1959,U.S.S.R/Russia,True,RKKE-14,1997,5,commander,2013,36,Soyuz TMA09M,ISS,Soyuz TMA09M,3990.0,16147.0,20.03,59.43,Fyodor Yurchikhin,Russia,Man,"STS-112 (2002), Soyuz TMA-10 (2007), Soyuz TMA-19 (2010), Soyuz TMA-09M (2013), Soyuz MS-04 (2017)",5,672:20:40,Ph.D,"In 2001, he graduated from the Russian Presidential Academy of National Economy and Public Administration (RANEPA) with a Ph; In 2001, he graduated from theRussian Presidential Academy of National Economy and Public Administration(RANEPA) with a Ph; Ordzhonikidze Moscow Aviation Institute, Yurchikhin worked at theRussian Space Corporation Energiafrom September 1983 until August 1997; Циолковского, медаль НАСА ""За космический полет"" (2003)
           

            Honorary member of the Russian Academy of Cosmonautics named after K; Ordzhonikidze Moscow Aviation Institute, Yurchikhin worked at the
           
            Russian Space Corporation Energia
           
           from September 1983 until August 1997",Flight Engineer; Mechanical Engineer; Commander; Cosmonaut; General,17 hours in space,"include collecting stamps and space logos, sports, history of cosmonautics, and promotion of space; include collecting stamps and space logos, sports, history of cosmonautics, and promotion of space; include collecting stamps and space logos, sports, history of cosmonautics, and promotion of space",Russian,1959
426,98,"Yurchikhin, Fyodor",male,1959,U.S.S.R/Russia,True,RKKE-14,1997,5,commander,2017,51,Soyuz MS-04,ISS,Soyuz MS-04,3258.0,16147.0,7.5,59.43,Fyodor Yurchikhin,Russia,Man,"STS-112 (2002), Soyuz TMA-10 (2007), Soyuz TMA-19 (2010), Soyuz TMA-09M (2013), Soyuz MS-04 (2017)",5,672:20:40,Ph.D,"In 2001, he graduated from the Russian Presidential Academy of National Economy and Public Administration (RANEPA) with a Ph; In 2001, he graduated from theRussian Presidential Academy of National Economy and Public Administration(RANEPA) with a Ph; Ordzhonikidze Moscow Aviation Institute, Yurchikhin worked at theRussian Space Corporation Energiafrom September 1983 until August 1997; Циолковского, медаль НАСА ""За космический полет"" (2003)
           

            Honorary member of the Russian Academy of Cosmonautics named after K; Ordzhonikidze Moscow Aviation Institute, Yurchikhin worked at the
           
            Russian Space Corporation Energia
           
           from September 1983 until August 1997",Flight Engineer; Mechanical Engineer; Commander; Cosmonaut; General,17 hours in space,"include collecting stamps and space logos, sports, history of cosmonautics, and promotion of space; include collecting stamps and space logos, sports, history of cosmonautics, and promotion of space; include collecting stamps and space logos, sports, history of cosmonautics, and promotion of space",Russian,1959
